water_management_name,quotas_subject
"""Дон от г. Калач-на-Дону до Цимлянского г/у (Цимлянское в-ще) без р. Чир""","""Ростовская область"""
"""Дон от г. Калач-на-Дону до Цимлянского г/у (Цимлянское в-ще) без р. Чир""","""Республика Калмыкия"""
Чир,"""Волгоградская область"""
Суна,"""Республика Карелия"""
"""Северский Донец от истока до границы РФ с Украиной без бассейнов рек Оскол и Айдар""","""Белгородская область"""
"""Хопер от впадения р. Ворона до устья без рр. Ворона, Савала и Бузулук""","""Волгоградская область"""
Ворона,"""Пензенская область"""
"""Хопер от истока до впадения р. Ворона""","""Воронежская область"""
"""Медведица от впадения р.Терса до устья""","""Волгоградская область"""
"""Дон от г. Павловск до устья р.Хопер без р. Подгорная""","""Ростовская область"""
"""Дон от г. Павловск до устья р.Хопер без р. Подгорная""","""Воронежская область"""
Битюг,"""Тамбовская область"""
"""Дон от г. Задонск до г. Лиски без рр. Воронеж (от истока до Воронежского г/у) и Тихая Сосна""","""Липецкая область"""
"""Дон от г. Задонск до г. Лиски без рр. Воронеж (от истока до Воронежского г/у) и Тихая Сосна""","""Воронежская область"""
"""Воронеж от г. Липецк до Воронежского г/у""","""Воронежская область"""
"""Воронеж от истока до г.Липецк без р.Матыра""","""Липецкая область"""
"""Обь от впадения р. Васюган до впадения р. Вах""","""Томская область"""
"""Дон от истока до г. Задонск без рр. Красивая Меча и Сосна""","""Тульская область"""
"""Дон от истока до г. Задонск без рр. Красивая Меча и Сосна""","""Рязанская область"""
"""Дон от истока до г. Задонск без рр. Красивая Меча и Сосна""","""Липецкая область"""
"""Российская часть бассейна р. Сейм ниже г. Курск""","""Курская область"""
"""Волга от Волгоградского г/у до в/п Светлый Яр""","""Волгоградская область"""
"""Волга от в/п Светлый Яр до в/п Верхнее Лебяжье""","""Астраханская область"""
"""Северский Донец от впадения р.Калитва до устья""","""Ростовская область"""
"""Урал от истока до Верхнеуральского г/у""","""Челябинская область"""
"""Егорлык от Егорлыкского г/у до Новотроицкого г/у""","""Ставропольский край"""
"""Реки бассейна Черного моря от западной границы бассейна р.Шепси до р. Псоу (граница РФ с Грузией)""","""Краснодарский край"""
"""Восточный Маныч от истока до Чограйского г/у""","""Республика Калмыкия"""
"""Кума от истока до впадения р. Подкумок""","""Карачаево-Черкесская Республика"""
"""Кума от истока до впадения р. Подкумок""","""Ставропольский край"""
"""Чулым от г. Ачинск до в/п с.Зырянское""","""Кемеровская область"""
"""Кума от впадения р. Подкумок до Отказненского г/у""","""Кабардино-Балкарская Республика"""
"""Сейм от истока до г. Курск""","""Курская область"""
"""Сейм от истока до г. Курск""","""Белгородская область"""
"""Чулым от г. Ачинск до в/п с.Зырянское""","""Красноярский край"""
"""Олекма от в/п с. Усть-Нюкжа до устья без р.Чара""","""Республика Саха (Якутия)"""
"""Чулым от в/п с.Зырянское до устья""","""Томская область"""
"""Российская часть бассейна р. Десна ниже г. Брянск""","""Орловская область"""
"""Обь от г. Нефтеюганск до впадения р. Иртыш""","""Ханты-Мансийский автономный округ - Югра"""
"""Витим от г. Бодайбо до устья без р.Мамакан (от истока до Мамаканской ГЭС)""","""Иркутская область"""
"""Уфа от Долгобродского г/у до Нязепетровского г/у""","""Челябинская область"""
"""Белая от в/п Арский Камень до Юмагузинского г/у""","""Республика Башкортостан"""
"""Оленек от истока до в/п ГМС Сухана""","""Республика Саха (Якутия)"""
"""Реки бассейна моря Лаптевых от мыса Прончищева до границы между Таймырским (Долгано-Ненецким) а.о. и Респ. Саха (Якутия) без р. Хатанга""","""Красноярский край"""
"""Сулак от Чиркейского г/у до устья""","""Чеченская Республика"""
"""Вятка от г. Котельнич до в/п пгт. Аркуль""","""Республика Марий Эл"""
"""Ишим от границы РФ с Респ. Казахстан до устья без оз. Большой Уват до г/у Большой Уват""","""Курганская область"""
"""Тобол от истока до впадения р.Уй без р.Увелька""","""Курганская область"""
"""Червленая от истока до Береславского г/у""","""Волгоградская область"""
"""Тобол от истока до впадения р.Уй без р.Увелька""","""Республика Башкортостан"""
"""Тобол от истока до впадения р.Уй без р.Увелька""","""Челябинская область"""
"""Волга от Иваньковского г/у до Угличского г/у (Угличское в-ще)""","""Владимирская область"""
Молога,"""Тверская область"""
